# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
2014:1031	2014-07-10	sfs-2014-1031	Lag (2014:1031) om vissa mynts upphörande som lagliga betalningsmedel
2014:1039	2014-07-17	sfs-2014-1039	Förordning (2014:1039) om marknadskontroll av varor och annan närliggande tillsyn
2014:105	2014-03-06	sfs-2014-105	Lag (2014:105) om insyn i finansiering av partier
2014:1053	2014-08-28	sfs-2014-1053	Förordning (2014:1053) om prisbasbelopp och förhöjt prisbasbelopp för år 2015
2014:1054	2014-08-28	sfs-2014-1054	Förordning (2014:1054) om inkomstbasbelopp för år 2015
2014:1055	2014-08-28	sfs-2014-1055	Förordning (2014:1055) om inkomstindex för år 2015
2014:1056	2014-08-28	sfs-2014-1056	Förordning (2014:1056) om balanstal för år 2015
2014:1057	2014-08-28	sfs-2014-1057	Förordning (2014:1057) om balansindex för år 2015
2014:1059	2014-08-28	sfs-2014-1059	Förordning (2014:1059) om vissa avgifter för registrering och tillsyn över handeln på grossistenergimarknaden
2014:1064	2014-09-04	sfs-2014-1064	Förordning (2014:1064) om intäktsram för elnätsföretag
2014:1071	2014-09-04	sfs-2014-1071	Förordning (2014:1071) om statsbidrag för att stärka ungas inflytande i den lokala demokratin
2014:1073	2014-08-28	sfs-2014-1073	Förordning (2014:1073) om producentansvar för förpackningar
2014:1074	2014-08-28	sfs-2014-1074	Förordning (2014:1074) om producentansvar för returpapper
2014:1075	2014-08-28	sfs-2014-1075	Förordning (2014:1075) om producentansvar för elutrustning
2014:1079	2014-09-11	sfs-2014-1079	Förordning (2014:1079) med instruktion för Statens historiska museer
2014:108	2014-02-20	sfs-2014-108	Förordning (2014:108) om statsbidrag till ideella organisationer inom kulturmiljöområdet
2014:1085	2014-09-11	sfs-2014-1085	Förordning (2014:1085) om rättsväsendets informationshantering
2014:110	2014-02-20	sfs-2014-110	Förordning (2014:110) om en upplysningstjänst för konsumenter
2014:1101	2014-09-11	sfs-2014-1101	Förordning (2014:1101) om EU:s direktstöd för jordbrukare
2014:1102	2014-09-11	sfs-2014-1102	Förordning (2014:1102) med instruktion för Polismyndigheten
2014:1103	2014-09-11	sfs-2014-1103	Förordning (2014:1103) med instruktion för Säkerhetspolisen
2014:1104	2014-09-11	sfs-2014-1104	Polisförordning (2014:1104)
2014:1105	2014-09-11	sfs-2014-1105	Förordning (2014:1105) om utbildning till polisman
2014:1106	2014-09-11	sfs-2014-1106	Förordning (2014:1106) om handläggning av ärenden om brott av anställda inom polisen och vissa andra befattningshavare
2014:1107	2014-09-11	sfs-2014-1107	Förordning (2014:1107) om Polismyndighetens hantering av hittegods
2014:1108	2014-09-11	sfs-2014-1108	Förordning (2014:1108) om utformningen av häkten och polisarrester
2014:115	2014-03-06	sfs-2014-115	Förordning (2014:115) med instruktion för utrikesrepresentationen
2014:116	2014-03-13	sfs-2014-116	Lag (2014:116) om avtal mellan Sverige och Montserrat om utbyte av upplysningar i skatteärenden
2014:1308	2014-09-25	sfs-2014-1308	Förordning (2014:1308) om uppräkningsfaktorer vid beräkning av preliminära kommunalskattemedel för 2015
2014:1312	2014-10-23	sfs-2014-1312	Förordning (2014:1312) om att bestämmelserna i smittskyddslagen (2004:168) om samhällsfarliga sjukdomar ska tillämpas på infektion med ebolavirus
2014:1315	2014-10-23	sfs-2014-1315	Förordning (2014:1315) om tillfälligt stöd för upparbetning och lagring av brandskadat virke från brandområdet i Västmanland
2014:132	2014-03-20	sfs-2014-132	Lag (2014:132) om mobilitetsstöd som komplement till färdtjänst
2014:1323	2014-10-30	sfs-2014-1323	Förordning (2014:1323) om fastställande av omräknade belopp för vägavgift för år 2015
2014:1326	2014-11-18	sfs-2014-1326	Finansinspektionens tillkännagivande (2014:1326) om ändring av vissa skadelivräntor
2014:1328	2014-11-13	sfs-2014-1328	Förordning (2014:1328) om fastställande av omräknade belopp för energiskatt på elektrisk kraft för år 2015
2014:1329	2014-11-13	sfs-2014-1329	Förordning (2014:1329) om fastställande av omräknade belopp för tobaksskatt för år 2015
2014:133	2014-03-20	sfs-2014-133	Förordning (2014:133) om mobilitetsstöd som komplement till färdtjänst
2014:1335	2014-11-13	sfs-2014-1335	Lag (2014:1335) om avtal mellan Sverige och Macao SAR om utbyte av upplysningar i skatteärenden
2014:134	2014-03-20	sfs-2014-134	Förordning (2014:134) med instruktion för Myndigheten för delaktighet
2014:1341	2014-11-13	sfs-2014-1341	Lag (2014:1341) om avtal mellan Sverige och Grenada om utbyte av upplysningar i skatteärenden
2014:1344	2014-11-20	sfs-2014-1344	Lag (2014:1344) med kompletterande bestämmelser till EU:s tåg-, fartygs- och busspassagerarförordningar
2014:1362	2014-11-11	sfs-2014-1362	Försäkringskassans föreskrifter (2014:1362) om procenttal för ändring av vissa underhållsbidrag
2014:1374	2014-11-13	sfs-2014-1374	Förordning (2014:1374) om förvaltning av fonden för europeiskt bistånd till dem som har det sämst ställt
2014:1383	2014-11-13	sfs-2014-1383	Förordning (2014:1383) om förvaltning av EU:s strukturfonder
2014:139	2014-03-20	sfs-2014-139	Förordning (2014:139) om statligt stöd till tillhandahållare av grundläggande betaltjänster
2014:1391	2014-11-27	sfs-2014-1391	Förordning (2014:1391) om fastställande av andelar för fördelning av ålderspensionsavgifter och statliga ålderspensionsavgifter under år 2015
2014:140	2014-03-20	sfs-2014-140	Lag (2014:140) med bemyndigande att meddela vissa föreskrifter om marknadskontroll av varor och annan närliggande tillsyn
2014:1408	2014-11-27	sfs-2014-1408	Lag (2014:1408) om avtal mellan Sverige och Hongkong SAR om utbyte av upplysningar i skatteärenden
2014:1415	2014-11-27	sfs-2014-1415	Förordning (2014:1415) om ränta vid betalningsskyldighet för underhållsstöd för år 2015
2014:1418	2014-11-27	sfs-2014-1418	Förordning (2014:1418) om ränta på studielån för 2015
2014:1434	2014-11-27	sfs-2014-1434	Klimatrapporteringsförordning (2014:1434)
2014:1436	2014-12-04	sfs-2014-1436	Förordning (2014:1436) om ränta för år 2015 enligt 4 a § lagen (1997:484) om dröjsmålsavgift
2014:1437	2014-12-04	sfs-2014-1437	Lag (2014:1437) om åtgärder vid hindrande av fortsatt färd
2014:144	2014-03-20	sfs-2014-144	Förordning (2014:144) om statsbidrag för hjälp med läxor eller annat skolarbete utanför ordinarie undervisningstid
2014:1444	2014-12-04	sfs-2014-1444	Förordning (2014:1444) om ränta på lån till hemutrustning för flyktingar och vissa andra utlänningar för år 2015
2014:1447	2014-12-11	sfs-2014-1447	Förordning (2014:1447) om tillämpning i fråga om Ryssland av lagen (1996:95) om vissa internationella sanktioner
2014:1448	2014-12-11	sfs-2014-1448	Förordning (2014:1448) om vissa sanktioner mot Ryssland
2014:1449	2014-12-11	sfs-2014-1449	Lag (2014:1449) om konsumentskydd vid automatisk avtalsförlängning
2014:145	2014-03-20	sfs-2014-145	Förordning (2014:145) om statsbidrag till skolhuvudmän som inrättar karriärsteg för lärare i förskoleklasser och grundskolor i utanförskapsområden
2014:1462	2014-12-11	sfs-2014-1462	Förordning (2014:1462) om tillsyn över transportörers informationsskyldighet enligt EU:s Atenförordning
2014:1463	2014-12-11	sfs-2014-1463	Förordning (2014:1463) med kompletterande bestämmelser till EU:s tåg-, fartygs- och busspassagerarförordningar
2014:1470	2014-12-11	sfs-2014-1470	Lag (2014:1470) om beskattning av viss privatinförsel av cigaretter
2014:1475	2014-12-11	sfs-2014-1475	Lag (2014:1475) om kreditering på skattekonto av ersättning för sjuklönekostnader
2014:1487	2014-12-11	sfs-2014-1487	Förordning (2014:1487) om att fartyg tillhör Rhensjöfarten
2014:1513	2014-12-11	sfs-2014-1513	Förordning (2014:1513) om exportbutik på flygplats
2014:1517	2014-12-04	sfs-2014-1517	Förordning (2014:1517) om erkännande och verkställighet av vissa utländska avgöranden på privaträttens område
2014:1518	2014-12-04	sfs-2014-1518	Förordning (2014:1518) om behörig domstol vid erkännande och verkställighet av utländska avgöranden i vissa fall
2014:1526	2014-12-11	sfs-2014-1526	Tillkännagivande (2014:1526) om de EU-bestämmelser som kompletteras av livsmedelslagen (2006:804)
2014:1527	2014-12-11	sfs-2014-1527	Tillkännagivande (2014:1527) om de EU-bestämmelser som kompletteras av lagen (2006:806) om provtagning på djur, m.m.
2014:1528	2014-12-11	sfs-2014-1528	Förordning (2014:1528) om statligt stöd till produktion av biogas
2014:1538	2014-12-18	sfs-2014-1538	Förordning (2014:1538) om förvaltning av asyl-, migrations- och integrationsfonden
2014:1542	2014-12-18	sfs-2014-1542	Förordning (2014:1542) om statsbidrag till kommuner och regioner för att främja hbtqi-personers situation
2014:1553	2014-12-18	sfs-2014-1553	Förordning (2014:1553) om förebyggande och lösning av tvister om utövande av jurisdiktion i straffrättsliga förfaranden inom Europeiska unionen
2014:1564	2014-12-19	sfs-2014-1564	Förordning (2014:1564) om infrastrukturavgifter på väg
2014:1578	2014-12-22	sfs-2014-1578	Förordning (2014:1578) med instruktion för Skolforskningsinstitutet
2014:1585	2014-12-22	sfs-2014-1585	Förordning (2014:1585) med instruktion för Riksantikvarieämbetet
2014:19	2014-01-16	sfs-2014-19	Förordning (2014:19) om formulär vid distansavtal och avtal utanför affärslokaler
2014:2	2014-01-09	sfs-2014-2	Förordning (2014:2) om försöksverksamhet med övningsskolor och övningsförskolor inom lärar- och förskollärarutbildningar
2014:21	2014-01-16	sfs-2014-21	Förordning (2014:21) om geologisk lagring av koldioxid
2014:214	2014-04-10	sfs-2014-214	Förordning (2014:214) om dammsäkerhet
2014:227	2014-04-16	sfs-2014-227	Lag (2014:227) om färdigställandeskydd
2014:266	2014-04-30	sfs-2014-266	Lag (2014:266) om energikartläggning i stora företag
2014:267	2014-04-30	sfs-2014-267	Lag (2014:267) om energimätning i byggnader
2014:268	2014-04-30	sfs-2014-268	Lag (2014:268) om vissa kostnads-nyttoanalyser på energiområdet
2014:275	2014-04-30	sfs-2014-275	Lag (2014:275) om viss verksamhet med konsumentkrediter
2014:298	2014-05-08	sfs-2014-298	Förordning (2014:298) om statsbidrag till utrustning för elektronisk kommunikation
2014:299	2014-05-08	sfs-2014-299	Förordning (2014:299) om statsbidrag för samordning av regionernas arbete med utrustning för elektronisk kommunikation
2014:307	2014-05-15	sfs-2014-307	Lag (2014:307) om straff för penningtvättsbrott
2014:322	2014-05-15	sfs-2014-322	Brottsskadelag (2014:322)
2014:327	2014-05-15	sfs-2014-327	Brottsskadeförordning (2014:327)
2014:329	2014-05-15	sfs-2014-329	Förordning (2014:329) om ikraftträdande av vissa lagar med anledning av EU:s tillträde till Haagkonventionen av den 23 november 2007 om internationell indrivning av underhåll till barn och andra familjemedlemmar
2014:333	2014-05-15	sfs-2014-333	Tillkännagivande (2014:333) om befrielse i vissa fall för utländska kärande att ställa säkerhet för rättegångskostnader
2014:338	2014-05-15	sfs-2014-338	Lag (2014:338) om avtal mellan Sverige och Qatar om utbyte av upplysningar i skatteärenden
2014:339	2014-05-15	sfs-2014-339	Lag (2014:339) om avtal mellan Sverige och Liberia om utbyte av upplysningar i skatteärenden
2014:340	2014-05-15	sfs-2014-340	Lag (2014:340) om skatteavtal mellan Sverige och Georgien
2014:341	2014-05-15	sfs-2014-341	Lag (2014:341) om beslut i särskilda regeringsärenden
2014:347	2014-05-15	sfs-2014-347	Förordning (2014:347) om energikartläggning i stora företag
2014:348	2014-05-15	sfs-2014-348	Förordning (2014:348) om energimätning i byggnader
2014:349	2014-05-15	sfs-2014-349	Förordning (2014:349) om vissa kostnads-nyttoanalyser på energiområdet
2014:35	2014-01-23	sfs-2014-35	Förordning (2014:35) om fastställande av intäktsram på naturgasområdet
2014:375	2014-05-28	sfs-2014-375	Förordning (2014:375) om statsbidrag för utveckling av lärande på arbetsplatser och regionala stödfunktioner för yrkesutbildning
2014:396	2014-05-28	sfs-2014-396	Förordning (2014:396) om upphävande av Inspektionen för arbetslöshetsförsäkringens föreskrifter (IAFFS 2009:4) om anmälan hos den offentliga arbetsförmedlingen för rätt till ekonomiskt stöd vid arbetslöshet
2014:397	2014-05-28	sfs-2014-397	Förordning (2014:397) om viss verksamhet med konsumentkrediter
2014:400	2014-05-28	sfs-2014-400	Lag (2014:400) om Polismyndighetens elimineringsdatabas
2014:405	2014-05-28	sfs-2014-405	Förordning (2014:405) om Polismyndighetens elimineringsdatabas
2014:406	2014-05-28	sfs-2014-406	Lag (2014:406) om straff för vissa internationella brott
2014:414	2014-05-28	sfs-2014-414	Lag (2014:414) om nomineringar till Europeiska unionens domstol och Europeiska domstolen för de mänskliga rättigheterna
2014:421	2014-05-28	sfs-2014-421	Lag (2014:421) om gymnasial lärlingsanställning
2014:425	2014-05-28	sfs-2014-425	Förordning (2014:425) om bekämpningsmedel
2014:447	2014-06-05	sfs-2014-447	Lag (2014:447) om rätt att ta fordon i anspråk för fordringar på vissa skatter och avgifter
2014:47	2014-01-30	sfs-2014-47	Förordning (2014:47) om statsbidrag för undervisning under skollov
2014:480	2014-06-05	sfs-2014-480	Förordning (2014:480) om myndigheters inköp av energieffektiva varor, tjänster och byggnader
2014:484	2014-06-05	sfs-2014-484	Lag (2014:484) om en databas för övervakning av och tillsyn över finansmarknaderna
2014:5	2014-01-16	sfs-2014-5	Tillkännagivande (2014:5) om tröskelvärden vid offentlig upphandling
2014:508	2014-06-05	sfs-2014-508	Förordning (2014:508) om uppgiftsskyldighet enligt EU:s förordning om tillsynskrav för kreditinstitut och värdepappersföretag
2014:509	2014-06-05	sfs-2014-509	Svavelförordning (2014:509)
2014:514	2014-06-12	sfs-2014-514	Lag (2014:514) om ansvar för vissa säkerhetsfrågor vid statsministerns tjänstebostäder
2014:52	2014-02-06	sfs-2014-52	Lag (2014:52) om infrastrukturavgifter på väg
2014:520	2014-06-12	sfs-2014-520	Förordning (2014:520) med instruktion för Statens energimyndighet
2014:521	2014-06-12	sfs-2014-521	Förordning (2014:521) om upphävande av Luftfartsverkets föreskrifter (TSFS 2009:10) om luftfartstaxa för Luftfartsverkets flygplatser m.m.
2014:528	2014-06-12	sfs-2014-528	Förordning (2014:528) om tillämpning av konventionen om social trygghet mellan Sverige och Indien
2014:534	2014-06-12	sfs-2014-534	Lag (2014:534) med kompletterande bestämmelser till EU:s textilmärkningsförordning
2014:535	2014-06-12	sfs-2014-535	Förordning (2014:535) om marknadskontroll av textilprodukter
2014:570	2014-06-12	sfs-2014-570	Förordning (2014:570) om regeringens medgivande till beslut om vissa föreskrifter
2014:580	2014-06-12	sfs-2014-580	Lag (2014:580) med vissa bestämmelser med anledning av en ny organisation för polisen
2014:59	2014-02-06	sfs-2014-59	Förordning (2014:59) om elektroniska vägtullssystem
2014:67	2014-02-13	sfs-2014-67	Förordning (2014:67) om bidrag till arbetsgivare för köp av arbetsplatsinriktat rehabiliteringsstöd för återgång i arbete
2014:68	2014-02-13	sfs-2014-68	Förordning (2014:68) om bidrag till företagshälsovården för köp av medicinsk service
2014:7	2014-01-16	sfs-2014-7	Förordning (2014:7) om skyldighet för myndigheter att lämna uppgifter till Bergwallkommissionen
2014:786	2014-06-05	sfs-2014-786	Tillkännagivande (2014:786) om de EU-bestämmelser som kompletteras av livsmedelslagen (2006:804)
2014:787	2014-06-05	sfs-2014-787	Tillkännagivande (2014:787) om de EU-bestämmelser som kompletteras av lagen (2006:805) om foder och animaliska biprodukter
2014:788	2014-06-05	sfs-2014-788	Tillkännagivande (2014:788) om de EU-bestämmelser som kompletteras av lagen (2006:806) om provtagning på djur, m.m.
2014:799	2014-06-19	sfs-2014-799	Lag (2014:799) om sprängämnesprekursorer
2014:801	2014-06-19	sfs-2014-801	Riksdagsordning (2014:801)
2014:812	2014-06-19	sfs-2014-812	Lag (2014:812) om skydd för kännetecken i den internationella humanitära rätten
2014:821	2014-06-19	sfs-2014-821	Patientlag (2014:821)
2014:834	2014-06-30	sfs-2014-834	Lag (2014:834) om konvention om social trygghet mellan Sverige och Sydkorea
2014:835	2014-06-19	sfs-2014-835	Förordning (2014:835) om stöd till nationella utvecklingsprojekt om tillämpningen av plan- och bygglagen (2010:900)
2014:836	2014-06-19	sfs-2014-836	Lag (2014:836) om näringsförbud
2014:84	2013-12-20	sfs-2014-84	Riksbankens föreskrifter (2014:84) om nya mynt av valörerna en krona, två kronor och fem kronor
2014:85	2013-12-20	sfs-2014-85	Riksbankens föreskrifter (2014:85) om nya sedlar av valörerna tjugo, femtio, ett hundra, två hundra, fem hundra och ett tusen kronor
2014:854	2014-06-19	sfs-2014-854	Förordning (2014:854) om vidareutbildning i form av ett fjärde tekniskt år och statsbidrag för sådan utbildning
2014:864	2014-06-19	sfs-2014-864	Förordning (2014:864) om frivillig miljöledning och miljörevision
2014:870	2014-06-12	sfs-2014-870	Förordning (2014:870) om ansökan om och handläggning av stöd för vissa landsbygdsutvecklingsåtgärder
2014:880	2014-06-19	sfs-2014-880	Förordning (2014:880) om sprängämnesprekursorer
2014:885	2014-06-26	sfs-2014-885	Förordning (2014:885) om register över vigselförrättare inom trossamfund
2014:899	2014-06-26	sfs-2014-899	Lag (2014:899) om riktlinjer för kommunala markanvisningar
2014:912	2014-06-26	sfs-2014-912	Lag (2014:912) med kompletterande bestämmelser om domstols behörighet och om erkännande och internationell verkställighet av vissa avgöranden
2014:936	2014-06-26	sfs-2014-936	Förordning (2014:936) om näringsförbud
2014:946	2014-06-26	sfs-2014-946	Förordning (2014:946) om statlig ersättning för utbildning i svenska för invandrare som ges till vissa utlänningar i Migrationsverkets anläggningsboenden
2014:966	2014-06-26	sfs-2014-966	Lag (2014:966) om kapitalbuffertar
2014:967	2014-06-26	sfs-2014-967	Lag (2014:967) om införande av lagen (2014:966) om kapitalbuffertar
2014:968	2014-06-26	sfs-2014-968	Lag (2014:968) om särskild tillsyn över kreditinstitut och värdepappersbolag
2014:969	2014-06-26	sfs-2014-969	Lag (2014:969) om införande av lagen (2014:968) om särskild tillsyn över kreditinstitut och värdepappersbolag
2014:993	2014-06-26	sfs-2014-993	Förordning (2014:993) om särskild tillsyn och kapitalbuffertar
2015:1016	2015-12-18	sfs-2015-1016	Lag (2015:1016) om resolution
2015:1017	2015-12-18	sfs-2015-1017	Lag (2015:1017) om förebyggande statligt stöd till kreditinstitut och om stabilitetsfonden
2015:1034	2015-12-18	sfs-2015-1034	Förordning (2015:1034) om resolution
2015:1035	2015-12-18	sfs-2015-1035	Förordning (2015:1035) om förebyggande statligt stöd till kreditinstitut och om stabilitetsfonden
2015:1047	2015-12-18	sfs-2015-1047	Förordning (2015:1047) med instruktion för Statens skolverk
2015:1052	2015-12-17	sfs-2015-1052	Förordning (2015:1052) om krisberedskap och bevakningsansvariga myndigheters åtgärder vid höjd beredskap
2015:1053	2015-12-17	sfs-2015-1053	Förordning (2015:1053) om totalförsvar och höjd beredskap
2015:1073	2015-12-18	sfs-2015-1073	Lag (2015:1073) om särskilda åtgärder vid allvarlig fara för den allmänna ordningen eller den inre säkerheten i landet
2015:1074	2015-12-18	sfs-2015-1074	Förordning (2015:1074) om vissa identitetskontroller vid allvarlig fara för den allmänna ordningen eller den inre säkerheten i landet
2015:109	2015-02-26	sfs-2015-109	Förordning (2015:109) om erkännande och verkställighet av frihetsberövande påföljder inom Europeiska unionen
2015:135	2015-03-05	sfs-2015-135	Lag (2015:135) om avtal mellan Sverige och Dominica om utbyte av upplysningar i skatteärenden
2015:136	2015-03-05	sfs-2015-136	Lag (2015:136) om avtal mellan Sverige och Uruguay om utbyte av upplysningar i skatteärenden
2015:137	2015-03-05	sfs-2015-137	Förordning (2015:137) om statsbidrag för kommunernas medverkan vid 2015 års omval
2015:139	2015-03-05	sfs-2015-139	Förordning (2015:139) om fördelning av statliga medel för innovationskontor vid universitet och högskolor
2015:141	2015-03-05	sfs-2015-141	Förordning (2015:141) om stöd till enskilda vägar med anledning av branden i Västmanlands län sommaren 2014
2015:152	2015-03-12	sfs-2015-152	Förordning (2015:152) med instruktion för Svenska institutet
2015:155	2015-03-19	sfs-2015-155	Förordning (2015:155) om statlig styrning med kunskap avseende hälso- och sjukvård, socialtjänst och LSS-verksamhet
2015:17	2015-01-22	sfs-2015-17	Förordning (2015:17) om åtgärder vid hindrande av fortsatt färd
2015:18	2015-01-22	sfs-2015-18	Förordning (2015:18) om fartygsåtervinning
2015:195	2015-03-26	sfs-2015-195	Förordning (2015:195) om ett nationellt informationssystem för skolväsendet
2015:197	2015-04-01	sfs-2015-197	Lag (2015:197) med kompletterande bestämmelser till EU:s förordning om skyddsåtgärder i civilrättsliga frågor
2015:198	2015-04-01	sfs-2015-198	Förordning (2015:198) med kompletterande bestämmelser till EU:s förordning om skyddsåtgärder i civilrättsliga frågor
2015:208	2015-03-26	sfs-2015-208	Förordning (2015:208) om stöd till forskning och utveckling samt innovation
2015:210	2015-03-26	sfs-2015-210	Förordning (2015:210) om statligt stöd för att regionalt främja små och medelstora företag
2015:211	2015-03-26	sfs-2015-211	Förordning (2015:211) om statligt stöd till regionala investeringar
2015:212	2015-03-26	sfs-2015-212	Förordning (2015:212) om statligt stöd inom Europeiska regionala utvecklingsfonden
2015:213	2015-04-01	sfs-2015-213	Förordning (2015:213) om lån till nätföretag för att underlätta anslutning av förnybar elproduktion
2015:215	2015-04-09	sfs-2015-215	Förordning (2015:215) om statsbidrag för lågstadiet i grundskolan och motsvarande skolformer samt viss annan utbildning
2015:216	2015-04-09	sfs-2015-216	Förordning (2015:216) om trafikbuller vid bostadsbyggnader
2015:218	2015-04-16	sfs-2015-218	Förordning (2015:218) om statsbidrag till folkbildningen
2015:219	2015-04-16	sfs-2015-219	Lag (2015:219) om avtal mellan Sverige och Marshallöarna om utbyte av upplysningar i skatteärenden
2015:220	2015-04-16	sfs-2015-220	Lag (2015:220) om avtal mellan Sverige och Costa Rica om utbyte av upplysningar i skatteärenden
2015:225	2015-04-23	sfs-2015-225	Förordning (2015:225) om tillämpning av konventionen om social trygghet mellan Sverige och Sydkorea
2015:236	2015-04-23	sfs-2015-236	Förordning (2015:236) om åtgärder för att förebygga och begränsa följderna av allvarliga kemikalieolyckor
2015:257	2015-05-13	sfs-2015-257	Förordning (2015:257) om nomineringar till Europeiska unionens domstol och Europeiska domstolen för de mänskliga rättigheterna
2015:260	2015-05-13	sfs-2015-260	Lag (2015:260) om upphävande av Elsäkerhetverkets föreskrifter (ELSÄK-FS 2002:1) om energieffektivitetskrav för förkopplingsdon till lysrör
2015:266	2015-05-13	sfs-2015-266	Lag (2015:266) om lokala aktionsgrupper
2015:280	2015-05-21	sfs-2015-280	Lag (2015:280) om rapportering av olyckor vid olje- och gasverksamhet till havs utanför Europeiska unionen
2015:284	2015-05-21	sfs-2015-284	Förordning (2015:284) med instruktion för Socialstyrelsen
2015:3	2014-12-30	sfs-2015-3	Tillkännagivande (2015:3) av uppgift om Riksbankens referensränta
2015:305	2015-05-28	sfs-2015-305	Förordning (2015:305) om rapportering av olyckor vid olje- och gasverksamhet till havs utanför Europeiska unionen
2015:307	2015-05-28	sfs-2015-307	Förordning (2015:307) om ersättning för skyddsutrustning och installation av skyddsutrustning i järnvägens kommunikationssystem
2015:315	2015-05-28	sfs-2015-315	Läkemedelslag (2015:315)
2015:338	2015-05-28	sfs-2015-338	Lag (2015:338) om internationell järnvägstrafik
2015:381	2015-06-11	sfs-2015-381	Tillkännagivande (2015:381) av Färöarnas och Grönlands anslutning till den nordiska konventionen om social trygghet av den 12 juni 2012
2015:400	2015-06-17	sfs-2015-400	Havsplaneringsförordning (2015:400)
2015:403	2015-06-17	sfs-2015-403	Förordning (2015:403) om statsbidrag för kommunal vuxenutbildning på gymnasial nivå och kommunal vuxenutbildning som särskild utbildning på gymnasial nivå
2015:404	2015-06-17	sfs-2015-404	Förordning (2015:404) om statsbidrag för mindre barngrupper i förskolan
2015:406	2015-06-11	sfs-2015-406	Förordning (2015:406) om stöd för landsbygdsutvecklingsåtgärder
2015:407	2015-06-11	sfs-2015-407	Förordning (2015:407) om lokalt ledd utveckling
2015:417	2015-06-25	sfs-2015-417	Lag (2015:417) om arv i internationella situationer
2015:42	2015-01-29	sfs-2015-42	Förordning (2015:42) om statsbidrag för handledare i språk-, läs- och skrivutveckling
2015:422	2015-06-25	sfs-2015-422	Förordning (2015:422) med kompletterande bestämmelser till EU:s arvsförordning
2015:433	2015-06-25	sfs-2015-433	Åklagardatalag (2015:433)
2015:45	2015-02-05	sfs-2015-45	Förordning (2015:45) om ansökan om och handläggning av stöd för landsbygdsutvecklingsåtgärder
2015:454	2015-06-25	sfs-2015-454	Förordning (2015:454) om statsbidrag till kvinno- och tjejjourer
2015:456	2015-06-25	sfs-2015-456	Förordning (2015:456) om statsbidrag till organisationer som bedriver förebyggande arbete för att minska medicinska och sociala skador av tobak och nikotin eller verksamhet mot överdrivet spelande
2015:458	2015-06-25	sfs-2015-458	Läkemedelsförordning (2015:458)
2015:476	2015-06-25	sfs-2015-476	Förordning (2015:476) om behandling av personuppgifter i Nationellt forensiskt centrums uppdragsverksamhet
2015:478	2015-06-25	sfs-2015-478	Lag (2015:478) med bemyndiganden att meddela föreskrifter om validering och om avgift för ansökan som avser kvalifikationer för livslångt lärande
2015:481	2015-06-25	sfs-2015-481	Förordning (2015:481) om försöksverksamhet med fjärrundervisning
2015:485	2015-06-25	sfs-2015-485	Lag (2015:485) om erkännande och uppföljning av beslut om övervakningsåtgärder inom Europeiska unionen
2015:488	2015-06-25	sfs-2015-488	Förordning (2015:488) om erkännande och uppföljning av beslut om övervakningsåtgärder inom Europeiska unionen
2015:49	2015-02-12	sfs-2015-49	Förordning (2015:49) med instruktion för Myndigheten för ungdoms- och civilsamhällesfrågor
2015:493	2015-06-17	sfs-2015-493	Förordning (2015:493) om distrikt
2015:500	2015-06-25	sfs-2015-500	Förordning (2015:500) om resebidrag
2015:502	2015-06-25	sfs-2015-502	Förordning (2015:502) om viss samverkan om unga och nyanlända
2015:503	2015-06-25	sfs-2015-503	Förordning (2015:503) om särskilt anställningsstöd
2015:504	2015-06-25	sfs-2015-504	Förordning (2015:504) om statsbidrag för utbildning som kombineras med traineejobb eller annat arbete
2015:51	2015-02-19	sfs-2015-51	Lag (2015:51) om idrottsorganisationers behandling av uppgifter om tillträdesförbud
2015:517	2015-06-25	sfs-2015-517	Förordning (2015:517) om stöd till lokala klimatinvesteringar
2015:518	2015-07-02	sfs-2015-518	Förordning (2015:518) om tillfälligt stöd för dieselbränsle som har förbrukats av skogsmaskiner i brandområdet i Västmanland
2015:519	2015-06-30	sfs-2015-519	Tillkännagivande (2015:519) av uppgift om Riksbankens referensränta
2015:521	2015-07-09	sfs-2015-521	Förordning (2015:521) om statsbidrag till särskilda folkbildningsinsatser för asylsökande och vissa nyanlända invandrare
2015:527	2015-07-23	sfs-2015-527	Förordning (2015:527) med instruktion för Upphandlingsmyndigheten
2015:536	2015-08-27	sfs-2015-536	Förordning (2015:536) om prisbasbelopp och förhöjt prisbasbelopp för år 2016
2015:537	2015-08-27	sfs-2015-537	Förordning (2015:537) om inkomstbasbelopp för år 2016
2015:538	2015-08-27	sfs-2015-538	Förordning (2015:538) om inkomstindex för år 2016
2015:539	2015-08-27	sfs-2015-539	Förordning (2015:539) om balanstal för år 2016
2015:54	2015-02-19	sfs-2015-54	Förordning (2015:54) om register över tillträdesförbud vid idrottsarrangemang
2015:540	2015-08-27	sfs-2015-540	Förordning (2015:540) om balansindex för år 2016
2015:545	2015-08-27	sfs-2015-545	Förordning (2015:545) om referensram för kvalifikationer för livslångt lärande
2015:552	2015-09-03	sfs-2015-552	Förordning (2015:552) om statsbidrag för upprustning av skollokaler och av utemiljöer vid skolor, förskolor och fritidshem
